id,name,avg_rating,num_reviews
P000,Action Camera Go,4.4,719
P001,Bluetooth Transmitter V1,4.7,888
P002,Monitor Arm Go,4.2,195
P003,Portable SSD MK21,5.0,1
P004,Smart Bulb Nano,3.6,10
P005,Wall Mount A005,4.5,381
P006,Desk Lamp V6,4.2,21
P007,Stylus Pen HD,4.5,20286
P008,Microphone Pro,4.4,31
P009,Car Phone Mount Mini,5.0,2
P010,Smart Bulb A010,4.6,448
P011,Gaming Controller V11,4.3,328
P012,Action Camera A012,3.7,15
P013,Smart Bulb HD,4.5,159
P014,Portable SSD V14,4.2,437
P015,Audio Splitter Nano,4.6,42
P016,Cable Organizer Lite,3.5,332
P017,Doorbell Camera V17,5.0,2
P018,Touchscreen Gloves Nano,3.9,228
P019,Bluetooth Transmitter V19,4.5,1186
P020,Ring Light A020,2.0,2
P021,Audio Splitter Ultra,4.5,171
P022,Mini Projector X,3.0,1
P023,Gaming Controller HD,4.5,7
P024,SD Card Reader V24,5.0,2
P025,Mechanical Keyboard X,4.5,4
P026,Action Camera Lite,3.9,22
P027,SD Card Reader V27,3.7,14
P028,Cable Tester TP196,3.8,29
P029,Mini Projector A029,4.0,39
P030,Tripod Lite,4.3,28
P031,Headphones A031,5.0,1
P032,Bluetooth Transmitter MK24,5.0,6
P033,Laptop Sleeve Pro,4.7,593
P034,Screen Cleaner X,4.6,124
P035,Microphone A035,4.5,1374
P036,Power Bank Go,5.0,1
P037,Tripod RX59,4.1,12
P038,USB Hub V38,3.6,10
P039,Smart Bulb V39,5.0,1
P040,Screen Cleaner Max,4.3,8
P041,Doorbell Camera V41,4.1,88
P042,Flashlight V42,4.5,1026
P043,Ring Light A043,4.7,2301
P044,Microphone TP108,2.2,3
P045,Screen Cleaner Go,4.3,136
P046,Cable Organizer MK122,4.5,2
P047,Audio Splitter MK129,4.5,3
P048,Gaming Controller A048,4.0,1173
P049,Keyboard Wrist Rest Plus,4.3,185
P050,Tripod ZN150,4.3,7150
P051,Audio Splitter RX157,4.6,9830
P052,VR Headset Strap Ultra,4.0,26
P053,USB-C Cable A053,3.5,2
P054,Screen Cleaner A054,4.6,763
P055,Ring Light V55,4.5,805
P056,USB Fan V56,4.5,898
P057,Bluetooth Adapter V57,4.4,13
P058,Wireless Mouse A058,4.1,2
P059,Bluetooth Transmitter RX13,1.0,1
P060,Cable Tester TP20,4.1,1504
P061,Wall Mount A061,4.7,22
P062,Monitor Arm MK34,4.7,2504
P063,Anti-Glare Screen ZN41,3.0,5
P064,Wall Mount V64,3.9,1300
P065,Bluetooth Speaker A065,5.0,5
P066,VR Headset Strap V66,4.5,141
P067,Flashlight A067,3.5,3
P068,Webcam V68,4.5,33638
P069,Gaming Controller Nano,4.6,8298
P070,Webcam TP90,4.5,33
P071,Anti-Glare Screen TP97,3.4,9
P072,USB Hub V72,5.0,1
P073,Tripod V73,4.3,212
P074,USB-C Cable Ultra,4.2,16
P075,Microphone Max,4.1,1165
P076,Touchscreen Gloves Lite,3.5,4
P077,Ring Light V77,4.0,5
P078,Laptop Stand RX146,4.5,193
P079,Bluetooth Speaker A079,4.4,568
P080,Webcam Nano,5.0,1
P081,Desk Lamp A081,4.1,228
P082,SD Card Reader RX174,4.4,8943
P083,Wireless Earbuds A083,4.5,6
P084,Webcam A084,4.6,5003
P085,Charging Dock Max,4.6,20
P086,Microphone Lite,4.6,1769
P087,HDMI Cable RX09,3.8,7
P088,Wireless Mouse V88,2.9,17
P089,Portable SSD A089,4.0,1
P090,Tripod MK30,5.0,1
P091,USB Fan A091,3.6,9
P092,HDMI Cable V92,4.5,1706
P093,Cable Tester V93,4.3,4320
P094,Phone Charger X,4.5,417
