"STATION","DATE","PRCP","TAVG","TMAX","TMIN","WSPD_MAX","WSPD_MEAN"
"ASN00086282","2021-04-14","0.0","15.2","22.7","12.2","32.8","21.4"
"ASN00086282","2021-04-15","0.0","13.3","20.0","8.7","25.2","17.3"
"ASN00086282","2021-04-16","0.4","12.8","16.2","8.0","16.3","11.5"
"ASN00086282","2021-04-17","0.0","13.7","17.9","10.2","15.0","10.6"
"ASN00086282","2021-04-18","0.0","14.7","18.5","10.5","14.7","10.3"
"ASN00086282","2021-04-19","0.0","16.1","20.5","10.6","20.6","12.5"
"ASN00086282","2021-04-20","0.0","8.9","19.7","10.5","26.4","18.4"
"ASN00086282","2021-04-21","4.4","11.8","15.9","4.2","15.9","11.3"
"ASN00086282","2021-04-22","0.0","13.6","17.2","8.6","20.7","17.4"
"ASN00086282","2021-04-23","0.0","13.6","16.5","11.6","19.4","13.3"
"ASN00086282","2021-04-24","0.0","12.7","17.9","10.3","17.2","12.0"
"ASN00086282","2021-04-25","2.0","12.8","17.5","7.9","15.6","10.5"
"ASN00086282","2021-04-26","0.0","14.1","18.2","8.8","18.2","10.0"
"ASN00086282","2021-04-27","0.0","11.7","15.9","11.4","12.3","7.7"
"ASN00086282","2021-04-28","0.0","11.6","18.4","5.5","13.5","5.9"
"ASN00086282","2021-04-29","0.0","13.2","21.5","6.2","8.7","4.1"
"ASN00086282","2021-04-30","0.0","16.2","25.1","7.6","17.8","12.0"
"ASN00086282","2021-05-01","0.0","18.1","24.5","9.2","24.4","19.6"
"ASN00086282","2021-05-02","0.0","17.2","26.4","13.4","27.9","21.5"
"ASN00086282","2021-05-03","1.6","12.6","18.5","9.3","16.0","9.6"
"ASN00086282","2021-05-04","35.0","11.2","15.1","8.2","29.9","19.3"
"ASN00086282","2021-05-05","0.4","10.7","16.3","5.9","18.4","11.2"
"ASN00086282","2021-05-06","0.0","13.8","21.1","6.3","9.2","5.4"
"ASN00086282","2021-05-07","0.0","15.3","22.3","9.1","12.0","6.1"
"ASN00086282","2021-05-08","0.0","13.9","19.6","9.1","12.1","7.9"
"ASN00086282","2021-05-09","0.8","14.3","20.1","9.4","15.5","10.0"
"ASN00086282","2021-05-10","0.0","12.4","16.9","9.8","29.3","16.4"
"ASN00086282","2021-05-11","14.8","10.2","14.3","8.9","30.6","19.2"
"ASN00086282","2021-05-12","0.6","11.8","17.5","5.1","14.3","5.7"
"ASN00086282","2021-05-13","0.0","10.2","17.7","7.4","20.3","13.9"
"ASN00086282","2021-05-14","2.0","9.9","14.3","5.1","22.4","18.0"
"ASN00086282","2021-05-15","2.6","8.2","12.4","5.7","34.3","21.8"
"ASN00086282","2021-05-16","0.2","11.9","15.3","4.1","23.8","18.2"
"ASN00086282","2021-05-17","0.0","10.5","15.6","8.5","22.7","13.1"
"ASN00086282","2021-05-18","0.0","11.6","15.4","6.3","13.3","8.0"
"ASN00086282","2021-05-19","0.0","13.1","18.2","6.5","19.5","14.7"
"ASN00086282","2021-05-20","0.2","10.3","16.0","9.6","23.8","14.5"
"ASN00086282","2021-05-21","0.0","9.7","18.3","4.4","9.6","5.4"
"ASN00086282","2021-05-22","0.0","11.5","19.0","2.4","23.8","15.1"
"ASN00086282","2021-05-23","0.0","12.6","19.6","6.0","17.3","15.2"
"ASN00086282","2021-05-24","0.0","15.7","19.5","6.6","37.5","23.2"
"ASN00086282","2021-05-25","0.0","13.3","19.2","12.6","42.8","32.9"
"ASN00086282","2021-05-26","7.4","10.2","13.9","9.8","29.5","20.1"
"ASN00086282","2021-05-27","0.6","10.7","13.7","6.1","24.0","18.4"
"ASN00086282","2021-05-28","1.4","10.3","12.9","8.6","23.6","16.8"
"ASN00086282","2021-05-29","0.0","7.4","12.9","8.9","18.1","10.2"
"ASN00086282","2021-05-30","0.0","8.2","14.7","1.3","9.7","4.6"
"ASN00086282","2021-05-31","0.0","11.1","16.5","2.3","26.6","15.6"
"ASN00086282","2021-06-01","0.0","11.6","15.3","6.7","29.5","23.8"
"ASN00086282","2021-06-02","0.0","13.1","18.8","7.5","27.4","21.1"
"ASN00086282","2021-06-03","1.8","12.4","17.0","8.1","18.1","8.5"
"ASN00086282","2021-06-04","0.0","7.1","13.3","8.9","23.4","15.2"
"ASN00086282","2021-06-05","0.0","10.4","12.3","2.6","29.3","19.3"
"ASN00086282","2021-06-06","0.0","10.4","13.0","6.1","27.5","22.7"
"ASN00086282","2021-06-07","0.0","12.2","17.7","9.4","40.1","31.6"
"ASN00086282","2021-06-08","2.4","8.7","12.4","8.1","42.6","21.3"
"ASN00086282","2021-06-09","6.4","11.4","13.6","6.4","47.0","28.5"
"ASN00086282","2021-06-10","19.6","9.9","13.8","8.7","46.9","28.9"
"ASN00086282","2021-06-11","0.4","11.4","14.1","4.9","12.6","8.4"
"ASN00086282","2021-06-12","1.0","11.3","15.2","9.4","21.2","15.1"
"ASN00086282","2021-06-13","0.0","11.4","15.0","7.9","11.3","7.3"
"ASN00086282","2021-06-14","0.0","9.9","15.6","9.4","15.1","8.9"
"ASN00086282","2021-06-15","0.0","11.0","14.2","4.5","21.2","15.7"
"ASN00086282","2021-06-16","5.0","9.5","14.8","7.7","32.1","20.9"
"ASN00086282","2021-06-17","0.6","8.7","13.1","4.4","15.1","10.2"
"ASN00086282","2021-06-18","1.0","10.9","12.7","4.0","23.1","13.2"
"ASN00086282","2021-06-19","4.0","9.6","15.1","8.8","16.6","11.3"
"ASN00086282","2021-06-20","0.2","7.3","13.7","4.1","7.9","5.1"
"ASN00086282","2021-06-21","0.0","7.6","14.7","1.7","14.1","10.6"
"ASN00086282","2021-06-22","0.0","11.4","13.8","1.7","26.3","15.4"
"ASN00086282","2021-06-23","0.0","11.5","14.4","6.0","37.8","28.3"
"ASN00086282","2021-06-24","0.4","11.8","15.6","7.6","30.0","19.3"
"ASN00086282","2021-06-25","1.0","9.9","12.0","9.4","26.7","15.7"
"ASN00086282","2021-06-26","6.4","9.8","13.1","7.4","19.1","14.9"
"ASN00086282","2021-06-27","0.0","10.3","15.5","6.9","19.0","9.2"
"ASN00086282","2021-06-28","0.2","7.7","13.9","5.7","15.8","8.9"
"ASN00086282","2021-06-29","0.0","10.5","15.3","3.0","24.0","16.0"
"ASN00086282","2021-06-30","0.0","12.2","15.9","6.1","27.8","24.3"
"ASN00086282","2021-07-01","0.2","12.1","16.0","9.2","26.6","20.9"
"ASN00086282","2021-07-02","0.2","9.2","14.5","8.9","29.3","22.2"
"ASN00086282","2021-07-03","4.6","6.8","10.2","4.2","29.4","18.3"
"ASN00086282","2021-07-04","0.0","8.2","13.4","3.9","29.8","20.3"
"ASN00086282","2021-07-05","0.0","8.1","12.5","3.6","18.4","13.0"
"ASN00086282","2021-07-06","0.6","8.5","11.7","4.7","14.1","9.3"
